Designator,Mid X,Mid Y,Rotation,Layer
AS5602,235.8,-50.015,180.0,top
AS5603,227.98,-71.135,180.0,bottom
BATT1,200.0,-76.5,180.0,bottom
BATT2,194.69,-112.4475,90.0,bottom
BATT4,237.98,-115.865,0.0,bottom
BT2,162.218102,-118.0,0.0,top
C1,188.69,-93.1475,90.0,top
C2,187.5,-96.8625,90.0,top
C3,163.0,-41.6375,270.0,bottom
D1,207.5,-70.0,90.0,top
D2,191.0,-88.0,270.0,top
D4,241.0,-102.5,90.0,top
D5,171.6,-117.0,0.0,top
DPS311,189.0,-63.92,180.0,top
J1,151.500741,-55.302224,90.0,top
J10,179.075,-75.95,0.0,top
J11,230.0,-115.315,0.0,top
J12,226.5,-35.5,180.0,top
J13,149.5,-74.5,180.0,bottom
J2,192.415,-97.7725,270.0,bottom
J3,196.05,-75.95,0.0,top
J4,205.5,-64.0,180.0,top
J5,162.1,-75.95,0.0,top
J6,205.5,-57.5,180.0,top
J7,192.64,-103.4475,90.0,top
J8,152.94,-103.6975,270.0,top
J9,173.69,-103.11,180.0,top
Q3,221.0,-106.365,180.0,top
R1,177.69,-102.0,0.0,bottom
R10,180.5,-67.0,270.0,top
R11,188.0,-41.4125,90.0,top
R12,188.0675,-46.0,270.0,top
R13,180.69,-97.4475,0.0,bottom
R14,225.5,-66.0,270.0,top
R17,159.0,-32.5,180.0,top
R18,182.5,-60.0,90.0,bottom
R2,177.5,-105.0,0.0,bottom
R20,182.5,-67.0,270.0,top
R22,186.0,-88.0,270.0,top
R23,211.5,-69.0875,270.0,top
R24,196.5,-45.5,270.0,bottom
R25,227.5,-106.5,90.0,top
R26,239.0,-107.4125,270.0,top
R27,235.5,-107.345,270.0,top
R28,196.5,-49.0,270.0,bottom
R29,225.0,-106.4125,90.0,top
R3,176.7775,-99.9475,180.0,bottom
R30,230.5,-106.5,90.0,top
R31,237.0,-83.0,90.0,top
R32,222.98,-47.865,90.0,top
R33,150.0,-113.5,180.0,top
R34,152.088728,-115.5855,0.0,top
R35,235.0,-89.5,270.0,bottom
R36,238.0,-89.4125,270.0,bottom
R4,167.0875,-117.0,0.0,top
R5,167.5,-68.0,90.0,top
R6,225.0,-82.0,0.0,bottom
R7,170.0,-120.5,90.0,bottom
R8,165.0,-120.5,270.0,bottom
R9,180.5,-58.0,90.0,bottom
SW1,150.5,-39.0,180.0,top
U1,174.833241,-40.861224,0.0,top
U11,201.5825,-40.861224,0.0,top
U2,155.19,-91.9475,270.0,top
U4,171.655741,-63.0,180.0,top
U5,156.1075,-103.9695,180.0,bottom
U6,179.0,-118.5,90.0,top
U8,228.0,-47.865,90.0,top
U9,229.529,-93.9475,270.0,top
